hour,sd_ev_week,sd_ev_weekend,sd_ev_week2030,sd_ev_weekend2030
0,67243.27380952382,67128.2878876536,336046.875,335472.23522527795
1,67218.18303571429,67088.82387361031,335921.484375,335275.0146284377
2,67255.81919642857,67049.359859567,336109.5703125,335077.79403159744
3,67180.546875,67049.359859567,335733.3984375,335077.79403159744
4,66377.64211309524,66891.5038033938,331720.8984375,334288.9116442364
5,63843.47395833334,66141.68753657109,319056.44531250006,330541.7203042715
6,59352.22544642857,64997.2311293154,296611.5234375,324822.3229959041
7,50670.81770833334,62195.286132241075,253226.36718750006,310819.6606202458
8,51686.99404761906,58130.492685781144,258304.68750000006,290505.9391456992
9,55274.97470238094,54065.69923932124,276235.54687499994,270192.2176711527
10,54773.15922619047,51303.21825629023,273727.734375,256386.7758923347
11,53869.89136904762,48698.593329432406,269213.671875,243370.21650087766
12,53606.43824404762,47711.99297834991,267897.0703125,238439.70157987127
13,54020.436011904756,47909.31304856641,269966.015625,239425.80456407255
14,52427.171875,48580.201287302516,262003.7109375,242778.55471035693
15,50081.18452380953,50671.79403159743,250279.6875,253231.2463428906
16,49152.825892857145,50790.18607372733,245640.23437500003,253822.90813341137
17,47973.55952380953,51974.10649502633,239746.875,259739.52603861908
18,53493.529761904756,55328.54768870685,267332.8125,276503.276770041
19,59113.86309523809,58209.42071386776,295420.3125,290900.3803393798
20,61597.84970238094,60340.47747220597,307833.98437499994,301550.29256875365
21,63379.294642857145,62155.82211819777,316736.71875,310622.4400234055
22,65210.92113095238,64523.66296079579,325890.234375,322455.67583382095
23,66289.82440476191,65786.5114101814,331282.03125,328766.7349327092
